name,role,component,layer,dtype,shape,params
model.language_model.layers.1.mlp.up_proj.weight,model.language_model.layers.N.mlp.up_proj.weight,language model,1.0,BF16,"(12288, 4096)",50331648
model.language_model.layers.1.post_attention_layernorm.weight,model.language_model.layers.N.post_attention_layernorm.weight,language model,1.0,BF16,"(4096,)",4096
model.language_model.layers.10.input_layernorm.weight,model.language_model.layers.N.input_layernorm.weight,language model,10.0,BF16,"(4096,)",4096
model.language_model.layers.10.linear_attn.A_log,model.language_model.layers.N.linear_attn.A_log,language model,10.0,F32,"(32,)",32
model.language_model.layers.10.linear_attn.conv1d.weight,model.language_model.layers.N.linear_attn.conv1d.weight,language model,10.0,BF16,"(8192, 1, 4)",32768
model.language_model.layers.10.linear_attn.dt_bias,model.language_model.layers.N.linear_attn.dt_bias,language model,10.0,BF16,"(32,)",32
model.language_model.layers.10.linear_attn.in_proj_a.weight,model.language_model.layers.N.linear_attn.in_proj_a.weight,language model,10.0,BF16,"(32, 4096)",131072
model.language_model.layers.10.linear_attn.in_proj_b.weight,model.language_model.layers.N.linear_attn.in_proj_b.weight,language model,10.0,BF16,"(32, 4096)",131072
model.language_model.layers.10.linear_attn.in_proj_qkv.weight,model.language_model.layers.N.linear_attn.in_proj_qkv.weight,language model,10.0,BF16,"(8192, 4096)",33554432
model.language_model.layers.10.linear_attn.in_proj_z.weight,model.language_model.layers.N.linear_attn.in_proj_z.weight,language model,10.0,BF16,"(4096, 4096)",16777216
model.language_model.layers.10.linear_attn.norm.weight,model.language_model.layers.N.linear_attn.norm.weight,language model,10.0,F32,"(128,)",128
model.language_model.layers.10.linear_attn.out_proj.weight,model.language_model.layers.N.linear_attn.out_proj.weight,language model,10.0,BF16,"(4096, 4096)",16777216
model.language_model.layers.10.mlp.down_proj.weight,model.language_model.layers.N.mlp.down_proj.weight,language model,10.0,BF16,"(4096, 12288)",50331648
model.language_model.layers.10.mlp.gate_proj.weight,model.language_model.layers.N.mlp.gate_proj.weight,language model,10.0,BF16,"(12288, 4096)",50331648
model.language_model.layers.10.mlp.up_proj.weight,model.language_model.layers.N.mlp.up_proj.weight,language model,10.0,BF16,"(12288, 4096)",50331648
model.language_model.layers.10.post_attention_layernorm.weight,model.language_model.layers.N.post_attention_layernorm.weight,language model,10.0,BF16,"(4096,)",4096
model.language_model.layers.11.input_layernorm.weight,model.language_model.layers.N.input_layernorm.weight,language model,11.0,BF16,"(4096,)",4096
model.language_model.layers.11.mlp.down_proj.weight,model.language_model.layers.N.mlp.down_proj.weight,language model,11.0,BF16,"(4096, 12288)",50331648
model.language_model.layers.11.mlp.gate_proj.weight,model.language_model.layers.N.mlp.gate_proj.weight,language model,11.0,BF16,"(12288, 4096)",50331648
model.language_model.layers.11.mlp.up_proj.weight,model.language_model.layers.N.mlp.up_proj.weight,language model,11.0,BF16,"(12288, 4096)",50331648
model.language_model.layers.11.post_attention_layernorm.weight,model.language_model.layers.N.post_attention_layernorm.weight,language model,11.0,BF16,"(4096,)",4096
model.language_model.layers.11.self_attn.k_norm.weight,model.language_model.layers.N.self_attn.k_norm.weight,language model,11.0,BF16,"(256,)",256
model.language_model.layers.11.self_attn.k_proj.weight,model.language_model.layers.N.self_attn.k_proj.weight,language model,11.0,BF16,"(1024, 4096)",4194304
model.language_model.layers.11.self_attn.o_proj.weight,model.language_model.layers.N.self_attn.o_proj.weight,language model,11.0,BF16,"(4096, 4096)",16777216
model.language_model.layers.11.self_attn.q_norm.weight,model.language_model.layers.N.self_attn.q_norm.weight,language model,11.0,BF16,"(256,)",256
model.language_model.layers.11.self_attn.q_proj.weight,model.language_model.layers.N.self_attn.q_proj.weight,language model,11.0,BF16,"(8192, 4096)",33554432
model.language_model.layers.11.self_attn.v_proj.weight,model.language_model.layers.N.self_attn.v_proj.weight,language model,11.0,BF16,"(1024, 4096)",4194304
model.language_model.layers.12.input_layernorm.weight,model.language_model.layers.N.input_layernorm.weight,language model,12.0,BF16,"(4096,)",4096
model.language_model.layers.12.linear_attn.A_log,model.language_model.layers.N.linear_attn.A_log,language model,12.0,F32,"(32,)",32
model.language_model.layers.12.linear_attn.conv1d.weight,model.language_model.layers.N.linear_attn.conv1d.weight,language model,12.0,BF16,"(8192, 1, 4)",32768
model.language_model.layers.12.linear_attn.dt_bias,model.language_model.layers.N.linear_attn.dt_bias,language model,12.0,BF16,"(32,)",32
model.language_model.layers.12.linear_attn.in_proj_a.weight,model.language_model.layers.N.linear_attn.in_proj_a.weight,language model,12.0,BF16,"(32, 4096)",131072
model.language_model.layers.12.linear_attn.in_proj_b.weight,model.language_model.layers.N.linear_attn.in_proj_b.weight,language model,12.0,BF16,"(32, 4096)",131072
model.language_model.layers.12.linear_attn.in_proj_qkv.weight,model.language_model.layers.N.linear_attn.in_proj_qkv.weight,language model,12.0,BF16,"(8192, 4096)",33554432
model.language_model.layers.12.linear_attn.in_proj_z.weight,model.language_model.layers.N.linear_attn.in_proj_z.weight,language model,12.0,BF16,"(4096, 4096)",16777216
model.language_model.layers.12.linear_attn.norm.weight,model.language_model.layers.N.linear_attn.norm.weight,language model,12.0,F32,"(128,)",128
model.language_model.layers.12.linear_attn.out_proj.weight,model.language_model.layers.N.linear_attn.out_proj.weight,language model,12.0,BF16,"(4096, 4096)",16777216
model.language_model.layers.12.mlp.down_proj.weight,model.language_model.layers.N.mlp.down_proj.weight,language model,12.0,BF16,"(4096, 12288)",50331648
model.language_model.layers.12.mlp.gate_proj.weight,model.language_model.layers.N.mlp.gate_proj.weight,language model,12.0,BF16,"(12288, 4096)",50331648
model.language_model.layers.12.mlp.up_proj.weight,model.language_model.layers.N.mlp.up_proj.weight,language model,12.0,BF16,"(12288, 4096)",50331648
model.language_model.layers.12.post_attention_layernorm.weight,model.language_model.layers.N.post_attention_layernorm.weight,language model,12.0,BF16,"(4096,)",4096
model.language_model.layers.13.input_layernorm.weight,model.language_model.layers.N.input_layernorm.weight,language model,13.0,BF16,"(4096,)",4096
model.language_model.layers.13.linear_attn.A_log,model.language_model.layers.N.linear_attn.A_log,language model,13.0,F32,"(32,)",32
model.language_model.layers.13.linear_attn.conv1d.weight,model.language_model.layers.N.linear_attn.conv1d.weight,language model,13.0,BF16,"(8192, 1, 4)",32768
model.language_model.layers.13.linear_attn.dt_bias,model.language_model.layers.N.linear_attn.dt_bias,language model,13.0,BF16,"(32,)",32
model.language_model.layers.13.linear_attn.in_proj_a.weight,model.language_model.layers.N.linear_attn.in_proj_a.weight,language model,13.0,BF16,"(32, 4096)",131072
model.language_model.layers.13.linear_attn.in_proj_b.weight,model.language_model.layers.N.linear_attn.in_proj_b.weight,language model,13.0,BF16,"(32, 4096)",131072
model.language_model.layers.13.linear_attn.in_proj_qkv.weight,model.language_model.layers.N.linear_attn.in_proj_qkv.weight,language model,13.0,BF16,"(8192, 4096)",33554432
model.language_model.layers.13.linear_attn.in_proj_z.weight,model.language_model.layers.N.linear_attn.in_proj_z.weight,language model,13.0,BF16,"(4096, 4096)",16777216
model.language_model.layers.13.linear_attn.norm.weight,model.language_model.layers.N.linear_attn.norm.weight,language model,13.0,F32,"(128,)",128
model.language_model.layers.13.linear_attn.out_proj.weight,model.language_model.layers.N.linear_attn.out_proj.weight,language model,13.0,BF16,"(4096, 4096)",16777216
model.language_model.layers.13.mlp.down_proj.weight,model.language_model.layers.N.mlp.down_proj.weight,language model,13.0,BF16,"(4096, 12288)",50331648
model.language_model.layers.13.mlp.gate_proj.weight,model.language_model.layers.N.mlp.gate_proj.weight,language model,13.0,BF16,"(12288, 4096)",50331648
model.language_model.layers.13.mlp.up_proj.weight,model.language_model.layers.N.mlp.up_proj.weight,language model,13.0,BF16,"(12288, 4096)",50331648
model.language_model.layers.13.post_attention_layernorm.weight,model.language_model.layers.N.post_attention_layernorm.weight,language model,13.0,BF16,"(4096,)",4096
model.language_model.layers.14.input_layernorm.weight,model.language_model.layers.N.input_layernorm.weight,language model,14.0,BF16,"(4096,)",4096
model.language_model.layers.14.linear_attn.A_log,model.language_model.layers.N.linear_attn.A_log,language model,14.0,F32,"(32,)",32
model.language_model.layers.14.linear_attn.conv1d.weight,model.language_model.layers.N.linear_attn.conv1d.weight,language model,14.0,BF16,"(8192, 1, 4)",32768
model.language_model.layers.14.linear_attn.dt_bias,model.language_model.layers.N.linear_attn.dt_bias,language model,14.0,BF16,"(32,)",32
model.language_model.layers.14.linear_attn.in_proj_a.weight,model.language_model.layers.N.linear_attn.in_proj_a.weight,language model,14.0,BF16,"(32, 4096)",131072
model.language_model.layers.14.linear_attn.in_proj_b.weight,model.language_model.layers.N.linear_attn.in_proj_b.weight,language model,14.0,BF16,"(32, 4096)",131072
model.language_model.layers.14.linear_attn.in_proj_qkv.weight,model.language_model.layers.N.linear_attn.in_proj_qkv.weight,language model,14.0,BF16,"(8192, 4096)",33554432
model.language_model.layers.14.linear_attn.in_proj_z.weight,model.language_model.layers.N.linear_attn.in_proj_z.weight,language model,14.0,BF16,"(4096, 4096)",16777216
model.language_model.layers.14.linear_attn.norm.weight,model.language_model.layers.N.linear_attn.norm.weight,language model,14.0,F32,"(128,)",128
model.language_model.layers.14.linear_attn.out_proj.weight,model.language_model.layers.N.linear_attn.out_proj.weight,language model,14.0,BF16,"(4096, 4096)",16777216
model.language_model.layers.14.mlp.down_proj.weight,model.language_model.layers.N.mlp.down_proj.weight,language model,14.0,BF16,"(4096, 12288)",50331648
model.language_model.layers.14.mlp.gate_proj.weight,model.language_model.layers.N.mlp.gate_proj.weight,language model,14.0,BF16,"(12288, 4096)",50331648
model.language_model.layers.14.mlp.up_proj.weight,model.language_model.layers.N.mlp.up_proj.weight,language model,14.0,BF16,"(12288, 4096)",50331648
model.language_model.layers.14.post_attention_layernorm.weight,model.language_model.layers.N.post_attention_layernorm.weight,language model,14.0,BF16,"(4096,)",4096
model.language_model.layers.15.input_layernorm.weight,model.language_model.layers.N.input_layernorm.weight,language model,15.0,BF16,"(4096,)",4096
model.language_model.layers.15.mlp.down_proj.weight,model.language_model.layers.N.mlp.down_proj.weight,language model,15.0,BF16,"(4096, 12288)",50331648
model.language_model.layers.15.mlp.gate_proj.weight,model.language_model.layers.N.mlp.gate_proj.weight,language model,15.0,BF16,"(12288, 4096)",50331648
model.language_model.layers.15.mlp.up_proj.weight,model.language_model.layers.N.mlp.up_proj.weight,language model,15.0,BF16,"(12288, 4096)",50331648
model.language_model.layers.15.post_attention_layernorm.weight,model.language_model.layers.N.post_attention_layernorm.weight,language model,15.0,BF16,"(4096,)",4096
model.language_model.layers.15.self_attn.k_norm.weight,model.language_model.layers.N.self_attn.k_norm.weight,language model,15.0,BF16,"(256,)",256
model.language_model.layers.15.self_attn.k_proj.weight,model.language_model.layers.N.self_attn.k_proj.weight,language model,15.0,BF16,"(1024, 4096)",4194304
model.language_model.layers.15.self_attn.o_proj.weight,model.language_model.layers.N.self_attn.o_proj.weight,language model,15.0,BF16,"(4096, 4096)",16777216
model.language_model.layers.15.self_attn.q_norm.weight,model.language_model.layers.N.self_attn.q_norm.weight,language model,15.0,BF16,"(256,)",256
model.language_model.layers.15.self_attn.q_proj.weight,model.language_model.layers.N.self_attn.q_proj.weight,language model,15.0,BF16,"(8192, 4096)",33554432
model.language_model.layers.15.self_attn.v_proj.weight,model.language_model.layers.N.self_attn.v_proj.weight,language model,15.0,BF16,"(1024, 4096)",4194304
model.language_model.layers.16.input_layernorm.weight,model.language_model.layers.N.input_layernorm.weight,language model,16.0,BF16,"(4096,)",4096
model.language_model.layers.16.linear_attn.A_log,model.language_model.layers.N.linear_attn.A_log,language model,16.0,F32,"(32,)",32
model.language_model.layers.16.linear_attn.conv1d.weight,model.language_model.layers.N.linear_attn.conv1d.weight,language model,16.0,BF16,"(8192, 1, 4)",32768
model.language_model.layers.16.linear_attn.dt_bias,model.language_model.layers.N.linear_attn.dt_bias,language model,16.0,BF16,"(32,)",32
model.language_model.layers.16.linear_attn.in_proj_a.weight,model.language_model.layers.N.linear_attn.in_proj_a.weight,language model,16.0,BF16,"(32, 4096)",131072
model.language_model.layers.16.linear_attn.in_proj_b.weight,model.language_model.layers.N.linear_attn.in_proj_b.weight,language model,16.0,BF16,"(32, 4096)",131072
model.language_model.layers.16.linear_attn.in_proj_qkv.weight,model.language_model.layers.N.linear_attn.in_proj_qkv.weight,language model,16.0,BF16,"(8192, 4096)",33554432
model.language_model.layers.16.linear_attn.in_proj_z.weight,model.language_model.layers.N.linear_attn.in_proj_z.weight,language model,16.0,BF16,"(4096, 4096)",16777216
model.language_model.layers.16.linear_attn.norm.weight,model.language_model.layers.N.linear_attn.norm.weight,language model,16.0,F32,"(128,)",128
model.language_model.layers.16.linear_attn.out_proj.weight,model.language_model.layers.N.linear_attn.out_proj.weight,language model,16.0,BF16,"(4096, 4096)",16777216
model.language_model.layers.16.mlp.down_proj.weight,model.language_model.layers.N.mlp.down_proj.weight,language model,16.0,BF16,"(4096, 12288)",50331648
model.language_model.layers.16.mlp.gate_proj.weight,model.language_model.layers.N.mlp.gate_proj.weight,language model,16.0,BF16,"(12288, 4096)",50331648
model.language_model.layers.16.mlp.up_proj.weight,model.language_model.layers.N.mlp.up_proj.weight,language model,16.0,BF16,"(12288, 4096)",50331648
model.language_model.layers.16.post_attention_layernorm.weight,model.language_model.layers.N.post_attention_layernorm.weight,language model,16.0,BF16,"(4096,)",4096
model.language_model.layers.17.input_layernorm.weight,model.language_model.layers.N.input_layernorm.weight,language model,17.0,BF16,"(4096,)",4096
model.language_model.layers.17.linear_attn.A_log,model.language_model.layers.N.linear_attn.A_log,language model,17.0,F32,"(32,)",32
model.language_model.layers.17.linear_attn.conv1d.weight,model.language_model.layers.N.linear_attn.conv1d.weight,language model,17.0,BF16,"(8192, 1, 4)",32768
model.language_model.layers.17.linear_attn.dt_bias,model.language_model.layers.N.linear_attn.dt_bias,language model,17.0,BF16,"(32,)",32
model.language_model.layers.17.linear_attn.in_proj_a.weight,model.language_model.layers.N.linear_attn.in_proj_a.weight,language model,17.0,BF16,"(32, 4096)",131072
model.language_model.layers.17.linear_attn.in_proj_b.weight,model.language_model.layers.N.linear_attn.in_proj_b.weight,language model,17.0,BF16,"(32, 4096)",131072
model.language_model.layers.17.linear_attn.in_proj_qkv.weight,model.language_model.layers.N.linear_attn.in_proj_qkv.weight,language model,17.0,BF16,"(8192, 4096)",33554432
model.language_model.layers.17.linear_attn.in_proj_z.weight,model.language_model.layers.N.linear_attn.in_proj_z.weight,language model,17.0,BF16,"(4096, 4096)",16777216
model.language_model.layers.17.linear_attn.norm.weight,model.language_model.layers.N.linear_attn.norm.weight,language model,17.0,F32,"(128,)",128
model.language_model.layers.17.linear_attn.out_proj.weight,model.language_model.layers.N.linear_attn.out_proj.weight,language model,17.0,BF16,"(4096, 4096)",16777216
model.language_model.layers.17.mlp.down_proj.weight,model.language_model.layers.N.mlp.down_proj.weight,language model,17.0,BF16,"(4096, 12288)",50331648
model.language_model.layers.17.mlp.gate_proj.weight,model.language_model.layers.N.mlp.gate_proj.weight,language model,17.0,BF16,"(12288, 4096)",50331648
model.language_model.layers.17.mlp.up_proj.weight,model.language_model.layers.N.mlp.up_proj.weight,language model,17.0,BF16,"(12288, 4096)",50331648
model.language_model.layers.17.post_attention_layernorm.weight,model.language_model.layers.N.post_attention_layernorm.weight,language model,17.0,BF16,"(4096,)",4096
model.language_model.layers.18.input_layernorm.weight,model.language_model.layers.N.input_layernorm.weight,language model,18.0,BF16,"(4096,)",4096
model.language_model.layers.18.linear_attn.A_log,model.language_model.layers.N.linear_attn.A_log,language model,18.0,F32,"(32,)",32
model.language_model.layers.18.linear_attn.conv1d.weight,model.language_model.layers.N.linear_attn.conv1d.weight,language model,18.0,BF16,"(8192, 1, 4)",32768
model.language_model.layers.18.linear_attn.dt_bias,model.language_model.layers.N.linear_attn.dt_bias,language model,18.0,BF16,"(32,)",32
model.language_model.layers.18.linear_attn.in_proj_a.weight,model.language_model.layers.N.linear_attn.in_proj_a.weight,language model,18.0,BF16,"(32, 4096)",131072
model.language_model.layers.18.linear_attn.in_proj_b.weight,model.language_model.layers.N.linear_attn.in_proj_b.weight,language model,18.0,BF16,"(32, 4096)",131072
model.language_model.layers.18.linear_attn.in_proj_qkv.weight,model.language_model.layers.N.linear_attn.in_proj_qkv.weight,language model,18.0,BF16,"(8192, 4096)",33554432
model.language_model.layers.18.linear_attn.in_proj_z.weight,model.language_model.layers.N.linear_attn.in_proj_z.weight,language model,18.0,BF16,"(4096, 4096)",16777216
model.language_model.layers.18.linear_attn.norm.weight,model.language_model.layers.N.linear_attn.norm.weight,language model,18.0,F32,"(128,)",128
model.language_model.layers.18.linear_attn.out_proj.weight,model.language_model.layers.N.linear_attn.out_proj.weight,language model,18.0,BF16,"(4096, 4096)",16777216
model.language_model.layers.18.mlp.down_proj.weight,model.language_model.layers.N.mlp.down_proj.weight,language model,18.0,BF16,"(4096, 12288)",50331648
model.language_model.layers.18.mlp.gate_proj.weight,model.language_model.layers.N.mlp.gate_proj.weight,language model,18.0,BF16,"(12288, 4096)",50331648
model.language_model.layers.18.mlp.up_proj.weight,model.language_model.layers.N.mlp.up_proj.weight,language model,18.0,BF16,"(12288, 4096)",50331648
model.language_model.layers.18.post_attention_layernorm.weight,model.language_model.layers.N.post_attention_layernorm.weight,language model,18.0,BF16,"(4096,)",4096
model.language_model.layers.19.input_layernorm.weight,model.language_model.layers.N.input_layernorm.weight,language model,19.0,BF16,"(4096,)",4096
model.language_model.layers.19.mlp.down_proj.weight,model.language_model.layers.N.mlp.down_proj.weight,language model,19.0,BF16,"(4096, 12288)",50331648
model.language_model.layers.19.mlp.gate_proj.weight,model.language_model.layers.N.mlp.gate_proj.weight,language model,19.0,BF16,"(12288, 4096)",50331648
model.language_model.layers.19.mlp.up_proj.weight,model.language_model.layers.N.mlp.up_proj.weight,language model,19.0,BF16,"(12288, 4096)",50331648
model.language_model.layers.19.post_attention_layernorm.weight,model.language_model.layers.N.post_attention_layernorm.weight,language model,19.0,BF16,"(4096,)",4096
model.language_model.layers.19.self_attn.k_norm.weight,model.language_model.layers.N.self_attn.k_norm.weight,language model,19.0,BF16,"(256,)",256
model.language_model.layers.19.self_attn.k_proj.weight,model.language_model.layers.N.self_attn.k_proj.weight,language model,19.0,BF16,"(1024, 4096)",4194304
model.language_model.layers.19.self_attn.o_proj.weight,model.language_model.layers.N.self_attn.o_proj.weight,language model,19.0,BF16,"(4096, 4096)",16777216
model.language_model.layers.19.self_attn.q_norm.weight,model.language_model.layers.N.self_attn.q_norm.weight,language model,19.0,BF16,"(256,)",256
model.language_model.layers.19.self_attn.q_proj.weight,model.language_model.layers.N.self_attn.q_proj.weight,language model,19.0,BF16,"(8192, 4096)",33554432
model.language_model.layers.19.self_attn.v_proj.weight,model.language_model.layers.N.self_attn.v_proj.weight,language model,19.0,BF16,"(1024, 4096)",4194304
model.language_model.layers.2.input_layernorm.weight,model.language_model.layers.N.input_layernorm.weight,language model,2.0,BF16,"(4096,)",4096
model.language_model.layers.2.linear_attn.A_log,model.language_model.layers.N.linear_attn.A_log,language model,2.0,F32,"(32,)",32
model.language_model.layers.2.linear_attn.conv1d.weight,model.language_model.layers.N.linear_attn.conv1d.weight,language model,2.0,BF16,"(8192, 1, 4)",32768
model.language_model.layers.2.linear_attn.dt_bias,model.language_model.layers.N.linear_attn.dt_bias,language model,2.0,BF16,"(32,)",32
model.language_model.layers.2.linear_attn.in_proj_a.weight,model.language_model.layers.N.linear_attn.in_proj_a.weight,language model,2.0,BF16,"(32, 4096)",131072
model.language_model.layers.2.linear_attn.in_proj_b.weight,model.language_model.layers.N.linear_attn.in_proj_b.weight,language model,2.0,BF16,"(32, 4096)",131072
model.language_model.layers.2.linear_attn.in_proj_qkv.weight,model.language_model.layers.N.linear_attn.in_proj_qkv.weight,language model,2.0,BF16,"(8192, 4096)",33554432
model.language_model.layers.2.linear_attn.in_proj_z.weight,model.language_model.layers.N.linear_attn.in_proj_z.weight,language model,2.0,BF16,"(4096, 4096)",16777216
model.language_model.layers.2.linear_attn.norm.weight,model.language_model.layers.N.linear_attn.norm.weight,language model,2.0,F32,"(128,)",128
model.language_model.layers.2.linear_attn.out_proj.weight,model.language_model.layers.N.linear_attn.out_proj.weight,language model,2.0,BF16,"(4096, 4096)",16777216
model.language_model.layers.2.mlp.down_proj.weight,model.language_model.layers.N.mlp.down_proj.weight,language model,2.0,BF16,"(4096, 12288)",50331648
model.language_model.layers.2.mlp.gate_proj.weight,model.language_model.layers.N.mlp.gate_proj.weight,language model,2.0,BF16,"(12288, 4096)",50331648
model.language_model.layers.2.mlp.up_proj.weight,model.language_model.layers.N.mlp.up_proj.weight,language model,2.0,BF16,"(12288, 4096)",50331648
model.language_model.layers.2.post_attention_layernorm.weight,model.language_model.layers.N.post_attention_layernorm.weight,language model,2.0,BF16,"(4096,)",4096
model.language_model.layers.20.input_layernorm.weight,model.language_model.layers.N.input_layernorm.weight,language model,20.0,BF16,"(4096,)",4096
model.language_model.layers.20.linear_attn.A_log,model.language_model.layers.N.linear_attn.A_log,language model,20.0,F32,"(32,)",32
model.language_model.layers.20.linear_attn.conv1d.weight,model.language_model.layers.N.linear_attn.conv1d.weight,language model,20.0,BF16,"(8192, 1, 4)",32768
model.language_model.layers.20.linear_attn.dt_bias,model.language_model.layers.N.linear_attn.dt_bias,language model,20.0,BF16,"(32,)",32
model.language_model.layers.20.linear_attn.in_proj_a.weight,model.language_model.layers.N.linear_attn.in_proj_a.weight,language model,20.0,BF16,"(32, 4096)",131072
model.language_model.layers.20.linear_attn.in_proj_b.weight,model.language_model.layers.N.linear_attn.in_proj_b.weight,language model,20.0,BF16,"(32, 4096)",131072
model.language_model.layers.20.linear_attn.in_proj_qkv.weight,model.language_model.layers.N.linear_attn.in_proj_qkv.weight,language model,20.0,BF16,"(8192, 4096)",33554432
model.language_model.layers.20.linear_attn.in_proj_z.weight,model.language_model.layers.N.linear_attn.in_proj_z.weight,language model,20.0,BF16,"(4096, 4096)",16777216
model.language_model.layers.20.linear_attn.norm.weight,model.language_model.layers.N.linear_attn.norm.weight,language model,20.0,F32,"(128,)",128
model.language_model.layers.20.linear_attn.out_proj.weight,model.language_model.layers.N.linear_attn.out_proj.weight,language model,20.0,BF16,"(4096, 4096)",16777216
model.language_model.layers.20.mlp.down_proj.weight,model.language_model.layers.N.mlp.down_proj.weight,language model,20.0,BF16,"(4096, 12288)",50331648
model.language_model.layers.20.mlp.gate_proj.weight,model.language_model.layers.N.mlp.gate_proj.weight,language model,20.0,BF16,"(12288, 4096)",50331648
model.language_model.layers.20.mlp.up_proj.weight,model.language_model.layers.N.mlp.up_proj.weight,language model,20.0,BF16,"(12288, 4096)",50331648
model.language_model.layers.20.post_attention_layernorm.weight,model.language_model.layers.N.post_attention_layernorm.weight,language model,20.0,BF16,"(4096,)",4096
model.language_model.layers.21.input_layernorm.weight,model.language_model.layers.N.input_layernorm.weight,language model,21.0,BF16,"(4096,)",4096
model.language_model.layers.21.linear_attn.A_log,model.language_model.layers.N.linear_attn.A_log,language model,21.0,F32,"(32,)",32
model.language_model.layers.21.linear_attn.conv1d.weight,model.language_model.layers.N.linear_attn.conv1d.weight,language model,21.0,BF16,"(8192, 1, 4)",32768
model.language_model.layers.21.linear_attn.dt_bias,model.language_model.layers.N.linear_attn.dt_bias,language model,21.0,BF16,"(32,)",32
model.language_model.layers.21.linear_attn.in_proj_a.weight,model.language_model.layers.N.linear_attn.in_proj_a.weight,language model,21.0,BF16,"(32, 4096)",131072
model.language_model.layers.21.linear_attn.in_proj_b.weight,model.language_model.layers.N.linear_attn.in_proj_b.weight,language model,21.0,BF16,"(32, 4096)",131072
model.language_model.layers.21.linear_attn.in_proj_qkv.weight,model.language_model.layers.N.linear_attn.in_proj_qkv.weight,language model,21.0,BF16,"(8192, 4096)",33554432
